zone_name,state,lat,lng,type,zone_id
Bengaluru Urban,Karnataka,12.9716,77.5946,Metro,Z001
Mumbai,Maharashtra,19.076,72.8777,Metro,Z002
South Delhi,Delhi,28.5355,77.241,Metro,Z003
Hyderabad,Telangana,17.385,78.4867,Metro,Z004
Chennai,Tamil Nadu,13.0827,80.2707,Metro,Z005
Pune,Maharashtra,18.5204,73.8567,Metro,Z006
Kolkata,West Bengal,22.5726,88.3639,Metro,Z007
Ahmedabad,Gujarat,23.0225,72.5714,Metro,Z008
Gurugram,Haryana,28.4595,77.0266,Metro,Z009
Noida,Uttar Pradesh,28.5355,77.391,Metro,Z010
Jamtara,Jharkhand,23.9625,86.8021,Hotspot,Z011
Mewat,Haryana,28.0163,77.0263,Hotspot,Z012
Bharatpur,Rajasthan,27.217,77.49,Hotspot,Z013
Mathura,Uttar Pradesh,27.4924,77.6737,Hotspot,Z014
Deoghar,Jharkhand,24.4818,86.6974,Hotspot,Z015
Alwar,Rajasthan,27.553,76.6346,Hotspot,Z016
Siliguri,West Bengal,26.7271,88.3953,Transit,Z017
Amritsar,Punjab,31.634,74.8723,Transit,Z018
Gorakhpur,Uttar Pradesh,26.7606,83.3732,Transit,Z019
Purnia,Bihar,25.7796,87.4753,Transit,Z020
District-21,Assam,25.5448,93.6486,General,Z021
District-22,Odisha,20.1758,84.2194,General,Z022
District-23,Karnataka,14.8168,77.2906,General,Z023
District-24,Gujarat,22.538,71.328,General,Z024
District-25,Punjab,29.7809,74.6628,General,Z025
District-26,Andhra Pradesh,15.0684,80.3234,General,Z026
District-27,Odisha,21.8781,85.3368,General,Z027
District-28,Assam,27.6459,91.9856,General,Z028
District-29,Haryana,29.4505,75.597,General,Z029
District-30,Maharashtra,18.5206,77.4497,General,Z030
District-31,Gujarat,22.3268,70.1737,General,Z031
District-32,Maharashtra,20.4848,77.4709,General,Z032
District-33,Uttar Pradesh,27.0758,81.3183,General,Z033
District-34,Karnataka,15.5335,76.6099,General,Z034
District-35,West Bengal,23.3125,87.2815,General,Z035
District-36,Punjab,32.4354,76.257,General,Z036
District-37,Uttar Pradesh,28.0679,81.8113,General,Z037
District-38,Bihar,26.2727,85.2742,General,Z038
District-39,Telangana,16.299,80.7493,General,Z039
District-40,Madhya Pradesh,24.3559,78.9783,General,Z040
District-41,Madhya Pradesh,22.5272,78.8767,General,Z041
District-42,Karnataka,13.9044,76.1906,General,Z042
District-43,Uttar Pradesh,26.4761,80.9551,General,Z043
District-44,Andhra Pradesh,15.3602,80.3775,General,Z044
District-45,Jharkhand,23.1553,84.1896,General,Z045
District-46,Rajasthan,25.131,72.0323,General,Z046
District-47,Maharashtra,18.5001,75.3641,General,Z047
District-48,Kerala,9.8455,75.0347,General,Z048
District-49,Tamil Nadu,11.787,80.099,General,Z049
District-50,Gujarat,22.7546,72.9538,General,Z050
District-51,Karnataka,13.5585,76.5837,General,Z051
District-52,Madhya Pradesh,22.9299,77.9885,General,Z052
District-53,Madhya Pradesh,24.41,78.2993,General,Z053
District-54,Odisha,21.434,84.7929,General,Z054
District-55,West Bengal,22.0834,86.9504,General,Z055
District-56,Karnataka,15.1334,77.0435,General,Z056
District-57,Chhattisgarh,21.9923,81.4886,General,Z057
District-58,Andhra Pradesh,17.4488,79.1023,General,Z058
District-59,Kerala,10.0363,76.6189,General,Z059
District-60,Madhya Pradesh,22.465,79.0518,General,Z060
District-61,Karnataka,15.3882,75.6636,General,Z061
District-62,Rajasthan,27.3548,74.2609,General,Z062
District-63,Haryana,30.1078,76.0224,General,Z063
District-64,Andhra Pradesh,17.3985,79.5009,General,Z064
District-65,Kerala,9.6229,76.0499,General,Z065
District-66,West Bengal,22.5689,87.0139,General,Z066
District-67,Andhra Pradesh,16.0143,80.2998,General,Z067
District-68,Odisha,21.7125,83.9525,General,Z068
District-69,Madhya Pradesh,22.4848,77.9657,General,Z069
District-70,Gujarat,21.8364,70.3485,General,Z070
District-71,Chhattisgarh,22.1352,83.0788,General,Z071
District-72,Jharkhand,23.1716,85.4773,General,Z072
District-73,Odisha,19.3595,85.854,General,Z073
District-74,Karnataka,14.9827,75.7144,General,Z074
District-75,Haryana,27.8913,76.5389,General,Z075
