zone_name,state,lat,lng,type,zone_id
Bengaluru Urban,Karnataka,12.9716,77.5946,Metro,Z001
Mumbai,Maharashtra,19.076,72.8777,Metro,Z002
South Delhi,Delhi,28.5355,77.241,Metro,Z003
Hyderabad,Telangana,17.385,78.4867,Metro,Z004
Chennai,Tamil Nadu,13.0827,80.2707,Metro,Z005
Pune,Maharashtra,18.5204,73.8567,Metro,Z006
Kolkata,West Bengal,22.5726,88.3639,Metro,Z007
Ahmedabad,Gujarat,23.0225,72.5714,Metro,Z008
Gurugram,Haryana,28.4595,77.0266,Metro,Z009
Noida,Uttar Pradesh,28.5355,77.391,Metro,Z010
Jamtara,Jharkhand,23.9625,86.8021,Hotspot,Z011
Mewat,Haryana,28.0163,77.0263,Hotspot,Z012
Bharatpur,Rajasthan,27.217,77.49,Hotspot,Z013
Mathura,Uttar Pradesh,27.4924,77.6737,Hotspot,Z014
Deoghar,Jharkhand,24.4818,86.6974,Hotspot,Z015
Alwar,Rajasthan,27.553,76.6346,Hotspot,Z016
Siliguri,West Bengal,26.7271,88.3953,Transit,Z017
Amritsar,Punjab,31.634,74.8723,Transit,Z018
Gorakhpur,Uttar Pradesh,26.7606,83.3732,Transit,Z019
Purnia,Bihar,25.7796,87.4753,Transit,Z020
District-21,Rajasthan,26.3467,72.0224,General,Z021
District-22,Tamil Nadu,12.8401,80.0523,General,Z022
District-23,Uttar Pradesh,27.6731,80.5418,General,Z023
District-24,Rajasthan,25.5137,72.867,General,Z024
District-25,Andhra Pradesh,17.8986,79.3951,General,Z025
District-26,Karnataka,14.8399,76.9565,General,Z026
District-27,Uttar Pradesh,28.0951,80.4252,General,Z027
District-28,Odisha,21.6088,84.8578,General,Z028
District-29,Assam,25.7861,91.3122,General,Z029
District-30,Jharkhand,24.1364,86.7312,General,Z030
District-31,Punjab,29.9731,76.017,General,Z031
District-32,Assam,26.3694,93.0557,General,Z032
District-33,Assam,25.0073,91.0876,General,Z033
District-34,Jharkhand,23.8705,84.0259,General,Z034
District-35,Punjab,30.7501,75.721,General,Z035
District-36,Karnataka,15.4279,76.0126,General,Z036
District-37,Madhya Pradesh,23.9022,77.4861,General,Z037
District-38,Madhya Pradesh,23.634,78.3135,General,Z038
District-39,Karnataka,14.8613,77.5446,General,Z039
District-40,Karnataka,13.2654,77.4768,General,Z040
District-41,Bihar,26.0521,85.1839,General,Z041
District-42,Jharkhand,23.5512,85.2385,General,Z042
District-43,West Bengal,22.2676,88.2036,General,Z043
District-44,Maharashtra,20.7464,77.0827,General,Z044
District-45,Bihar,26.9326,84.9108,General,Z045
District-46,Chhattisgarh,21.4228,83.0711,General,Z046
District-47,Rajasthan,25.2892,74.8332,General,Z047
District-48,Uttar Pradesh,26.8739,80.4349,General,Z048
District-49,Tamil Nadu,10.4135,79.2546,General,Z049
District-50,Jharkhand,22.0458,84.4665,General,Z050
District-51,Punjab,29.5412,74.0157,General,Z051
District-52,Gujarat,23.4206,70.4616,General,Z052
District-53,Rajasthan,25.2653,74.4956,General,Z053
District-54,Telangana,18.0833,78.3487,General,Z054
District-55,Punjab,29.8142,75.1915,General,Z055
District-56,Karnataka,15.5733,75.1069,General,Z056
District-57,Punjab,31.3203,74.8204,General,Z057
District-58,Bihar,26.23,84.049,General,Z058
District-59,Andhra Pradesh,17.0251,80.3642,General,Z059
District-60,Kerala,10.4529,76.3887,General,Z060
District-61,Odisha,20.8699,83.1489,General,Z061
District-62,Punjab,29.7578,76.3814,General,Z062
District-63,Jharkhand,22.1523,84.182,General,Z063
District-64,Rajasthan,25.5416,73.6638,General,Z064
District-65,Gujarat,23.4139,71.061,General,Z065
District-66,West Bengal,23.844,87.4952,General,Z066
District-67,Uttar Pradesh,27.9398,81.7429,General,Z067
District-68,Gujarat,23.2071,71.8061,General,Z068
District-69,Punjab,32.2022,74.6242,General,Z069
District-70,Chhattisgarh,21.2515,80.8125,General,Z070
District-71,Andhra Pradesh,15.4566,79.112,General,Z071
District-72,Andhra Pradesh,16.3334,79.1326,General,Z072
District-73,Andhra Pradesh,15.5784,80.7131,General,Z073
District-74,Bihar,25.5507,84.6103,General,Z074
District-75,Gujarat,22.4,71.3709,General,Z075
